player_id,assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
363,1,17,677,11,0.0,488,76542,51,33,8,0.0,5887,0.0,2689,0,0,0,0,0,9,2014/15,50,0.0,129,4
363,1,4,338,3,0.0,241,76542,50,32,2,0.0,6567,0.0,1851,0,0,0,0,0,10,2015/16,55,0.0,61,4
363,1,0,220,4,210.9,0,76542,50,28,0,44.4,7266,160.4,1291,0,0,0,0,0,11,2016/17,55,77.0,41,3
364,8,2,308,5,0.0,288,49195,54,21,1,0.0,5908,0.0,1577,0,0,0,0,0,9,2014/15,60,0.0,80,0
364,2,0,175,4,0.0,202,49195,51,21,0,0.0,6568,0.0,1355,0,0,0,0,0,10,2015/16,60,0.0,46,0
364,1,0,76,0,134.3,0,49195,50,9,0,31.5,7267,82.4,380,0,0,0,0,0,11,2016/17,55,99.0,18,0
365,2,6,101,10,0.0,351,49277,51,41,3,0.0,5179,0.0,2461,0,0,0,1,0,8,2013/14,60,0.0,86,5
365,4,14,436,5,0.0,338,49277,52,53,6,0.0,5920,0.0,2362,0,0,0,0,0,9,2014/15,55,0.0,113,4
365,2,0,151,2,0.0,107,49277,48,12,0,0.0,6666,0.0,756,0,0,0,0,0,10,2015/16,50,0.0,24,2
365,2,5,429,4,333.9,0,49277,48,49,6,128.3,7269,507.6,2405,0,0,0,0,0,11,2016/17,50,443.0,95,9
366,4,17,0,11,0.0,389,21083,48,38,5,0.0,3732,0.0,2359,0,0,0,1,0,6,2011/12,45,0.0,122,1
366,6,7,0,8,0.0,316,21083,50,32,3,0.0,4446,0.0,2309,0,0,0,1,0,7,2012/13,55,0.0,102,3
366,2,9,101,5,0.0,327,21083,50,30,6,0.0,5135,0.0,1747,0,0,0,0,0,8,2013/14,55,0.0,93,1
366,2,5,302,8,0.0,318,21083,52,29,3,0.0,5877,0.0,1862,0,0,0,0,0,9,2014/15,55,0.0,85,2
366,1,0,64,0,0.0,64,21083,46,4,1,0.0,6563,0.0,239,0,0,0,0,0,10,2015/16,50,0.0,20,1
366,1,0,47,0,57.5,0,21083,47,11,0,14.6,7270,40.0,214,0,0,0,0,0,11,2016/17,50,48.0,12,0
367,0,0,0,0,0.0,0,93464,50,0,0,0.0,3817,0.0,0,0,0,0,0,0,6,2011/12,50,0.0,0,0
367,1,0,0,0,0.0,14,93464,42,1,0,0.0,4467,0.0,81,0,0,0,0,0,7,2012/13,45,0.0,10,0
367,0,0,0,0,0.0,0,93464,44,0,0,0.0,5154,0.0,0,0,0,0,0,0,8,2013/14,45,0.0,0,0
367,0,0,132,2,0.0,96,93464,44,10,0,0.0,5841,0.0,692,0,0,0,0,0,9,2014/15,45,0.0,21,1
367,0,0,109,2,0.0,93,93464,47,7,1,0.0,6542,0.0,515,0,0,0,0,0,10,2015/16,50,0.0,27,3
367,2,4,243,5,268.2,0,93464,41,18,1,61.0,7278,253.8,1389,0,0,0,0,0,11,2016/17,45,86.0,52,1
368,2,0,58,1,0.0,56,111787,44,4,0,0.0,6080,0.0,289,0,0,0,0,0,9,2014/15,45,0.0,17,1
368,3,3,151,2,0.0,120,111787,42,15,1,0.0,6758,0.0,791,0,0,0,0,0,10,2015/16,45,0.0,43,0
368,2,0,136,4,332.7,0,111787,50,23,0,70.5,7450,153.6,1145,0,0,0,0,0,11,2016/17,50,223.0,34,1
369,3,0,75,1,105.7,0,57586,51,8,0,23.9,7376,74.4,416,0,0,0,0,0,11,2016/17,55,60.0,25,0
371,3,22,512,5,489.6,0,19760,63,51,15,220.3,7467,639.8,2442,0,0,0,0,0,11,2016/17,65,1086.0,146,2
372,0,0,17,0,33.0,0,169432,45,5,0,8.0,7477,8.0,82,0,0,0,0,0,11,2016/17,45,39.0,5,0
373,0,13,329,4,0.0,353,80146,54,51,7,0.0,6776,0.0,2349,0,0,0,1,0,10,2015/16,60,0.0,86,6
373,4,2,122,5,122.5,0,80146,50,7,1,47.9,7496,141.0,867,0,0,0,0,0,11,2016/17,50,219.0,39,1
374,0,0,-3,0,0.0,0,173879,45,2,0,0.0,6817,0.0,55,0,0,0,0,0,10,2015/16,45,0.0,2,0
375,0,3,0,9,0.0,345,37915,58,29,0,0.0,4042,0.0,2430,0,0,0,0,58,7,2012/13,60,0.0,96,0
375,0,5,177,14,0.0,426,37915,58,50,0,0.0,4737,0.0,3330,0,0,1,0,103,8,2013/14,60,0.0,141,2
375,0,6,535,8,0.0,389,37915,54,48,0,0.0,5412,0.0,3063,0,0,1,0,107,9,2014/15,55,0.0,121,0
375,0,4,664,13,0.0,419,37915,54,34,0,0.0,6122,0.0,3330,0,0,0,0,88,10,2015/16,50,0.0,140,0
375,0,6,665,15,20.0,0,37915,55,24,0,68.7,6852,664.6,3004,0,0,0,0,78,11,2016/17,55,2.0,143,0
376,0,3,0,14,0.0,404,39215,52,49,0,0.0,3360,0.0,3330,0,0,2,0,143,6,2011/12,40,0.0,158,2
376,0,1,0,7,0.0,258,39215,51,38,0,0.0,4023,0.0,2307,0,0,1,0,89,7,2012/13,55,0.0,92,1
376,0,2,108,7,0.0,224,39215,48,32,0,0.0,4732,0.0,2340,0,0,0,1,64,8,2013/14,50,0.0,81,2
376,0,1,61,1,0.0,46,39215,47,5,0,0.0,5417,0.0,357,0,0,0,0,12,9,2014/15,50,0.0,14,0
